Natural Frequency		8.2V		8.3V		8.4V		8.5V		8.6V		8.7V		8.8V		8.9V		9.0V		9.1V		9.2V		9.3V		9.4V		9.5V		9.6V		9.7V		9.8V		9.9V		10.0V		Natural_Freq_w/Motor	
Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage
0	-5.94915	0	-0.224023	0	0.346124	0	-0.381611	0	-0.389178	0	-0.480967	0	-0.219088	0	-0.719817	0	0.103326	0	-0.13322	0	1.47129	0	1.78317	0	1.52623	0	-1.23469	0	3.45742	0	4.2299	0	-0.683628	0	0.563919	0	1.02648	0	0.434295	0	0.223738
0.001	-5.71392	0.001	-0.272714	0.001	0.327701	0.001	-0.332591	0.001	-0.416485	0.001	-0.527027	0.001	-0.508274	0.001	-0.900764	0.001	-0.0924252	0.001	-0.360556	0.001	1.49366	0.001	1.7733	0.001	1.75751	0.001	-1.90518	0.001	3.76405	0.001	3.79398	0.001	-0.891881	0.001	0.10859	0.001	0.775791	0.001	0.0487134	0.001	0.159256
0.002	-3.84986	0.002	-0.283242	0.002	0.293485	0.002	-0.208231	0.002	-0.479651	0.002	-0.53887	0.002	-0.596773	0.002	-0.964589	0.002	-0.278965	0.002	-0.615855	0.002	1.46207	0.002	1.88779	0.002	2.08881	0.002	-2.27069	0.002	3.93446	0.002	3.23634	0.002	-1.1758	0.002	-0.0631447	0.002	0.41949	0.002	-0.175332	0.002	0.0895087
0.003	-0.969524	0.003	-0.305942	0.003	0.2494	0.003	-0.243434	0.003	-0.491495	0.003	-0.397403	0.003	-0.573744	0.003	-1.09717	0.003	-0.479651	0.003	-0.80733	0.003	1.53676	0.003	1.65355	0.003	2.27666	0.003	-2.60758	0.003	4.14995	0.003	2.81852	0.003	-1.21627	0.003	-0.108546	0.003	0.455021	0.003	-0.0917672	0.003	0.01713
0.004	2.02761	0.004	-0.275675	0.004	0.263547	0.004	-0.210205	0.004	-0.528343	0.004	-0.355292	0.004	-0.754691	0.004	-0.974459	0.004	-0.676719	0.004	-0.979393	0.004	1.33706	0.004	1.42358	0.004	2.35464	0.004	-2.76912	0.004	3.92427	0.004	1.65947	0.004	-1.05638	0.004	-0.544463	0.004	0.443836	0.004	-0.399048	0.004	-0.0542618
0.005	4.65266	0.005	-0.27732	0.005	0.174718	0.005	-0.147367	0.005	-0.392139	0.005	-0.317786	0.005	-0.784629	0.005	-1.07579	0.005	-0.735609	0.005	-1.14718	0.005	1.11926	0.005	1.34133	0.005	2.37273	0.005	-3.03494	0.005	3.68509	0.005	0.645509	0.005	-1.33175	0.005	-0.708631	0.005	-0.0565648	0.005	-0.660269	0.005	-0.122364
0.006	5.74853	0.006	-0.206257	0.006	0.072072	0.006	-0.0749885	0.006	-0.493469	0.006	-0.212837	0.006	-0.810949	0.006	-1.03368	0.006	-0.966892	0.006	-1.30214	0.006	1.00181	0.006	1.12354	0.006	2.42965	0.006	-3.13562	0.006	3.31332	0.006	-0.177635	0.006	-1.20377	0.006	-0.792196	0.006	-0.045379	0.006	-0.615526	0.006	-0.185531
0.007	5.68701	0.007	-0.276333	0.007	0.0786519	0.007	0.0253548	0.007	-0.462873	0.007	-0.0710405	0.007	-0.731661	0.007	-0.831675	0.007	-1.03401	0.007	-1.22515	0.007	0.773817	0.007	0.756709	0.007	2.15494	0.007	-3.07015	0.007	2.85734	0.007	-1.02118	0.007	-1.05835	0.007	-0.970511	0.007	-0.133549	0.007	-0.677377	0.007	-0.24146
0.008	3.96506	0.008	-0.276333	0.008	-0.0164275	0.008	0.0177879	0.008	-0.307587	0.008	0.01384	0.008	-0.819502	0.008	-0.752388	0.008	-1.16824	0.008	-1.33569	0.008	0.507003	0.008	0.498449	0.008	1.91707	0.008	-2.81189	0.008	2.17797	0.008	-1.76635	0.008	-0.972156	0.008	-1.18995	0.008	-0.609933	0.008	-0.959654	0.008	-0.287519
