	alpha [deg]	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11

	q [psf]	24.73	25.35	24.73	25.35	24.81	25.12	25.44	25.34	25.12	25.01	25.45	25.35	24.74	25.38	25.28	24.97

x [in]	z [in]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]	p [psf]

32.000	0.000	-0.13	0.66	0.48	0.26	-0.09	-0.17	-0.16	0.16	-0.39	-0.92	-0.97	-1.50	-2.41	-3.91	-5.94	-9.20

28.750	0.014	1.51	2.69	2.81	3.01	2.94	3.34	3.76	4.45	4.23	4.12	4.56	4.55	4.23	4.20	4.13	3.25

27.587	-0.094	0.71	1.86	2.01	2.19	2.14	2.55	2.98	3.69	3.49	3.42	3.90	3.95	3.72	3.74	3.74	2.91

25.712	-0.329	-0.77	0.37	0.57	0.76	0.79	1.23	1.71	2.48	2.37	2.39	2.94	3.08	2.98	3.10	3.21	2.44

23.837	-0.614	-2.63	-1.51	-1.21	-1.00	-0.87	-0.38	0.15	0.99	0.98	1.09	1.72	1.97	2.02	2.25	2.42	1.65

21.958	-0.923	-4.88	-3.76	-3.33	-3.11	-2.84	-2.30	-1.71	-0.77	-0.68	-0.46	0.26	0.64	0.84	0.90	1.15	0.58

20.083	-1.234	-7.31	-6.14	-5.55	-5.26	-4.84	-4.21	-3.51	-2.45	-2.22	-1.84	-1.09	-0.85	-0.64	-0.23	0.23	-0.26

18.208	-1.529	-9.99	-8.76	-7.97	-7.59	-6.99	-6.25	-5.43	-4.22	-3.86	-3.66	-2.75	-2.13	-1.66	-1.19	-0.64	-1.04

16.062	-1.828	-13.08	-11.74	-10.67	-10.16	-9.32	-8.43	-7.44	-6.05	-5.54	-5.07	-4.02	-3.25	-2.61	-2.02	-1.33	-1.61

14.454	-2.010	-15.57	-14.13	-12.83	-12.19	-11.14	-10.10	-8.97	-7.43	-6.77	-6.03	-4.85	-3.93	-3.14	-2.45	-1.64	-1.85

12.579	-2.161	-18.21	-16.61	-15.01	-14.18	-12.88	-11.66	-10.28	-8.57	-7.67	-6.72	-5.36	-4.27	-3.30	-2.45	-1.50	-1.60

10.704	-2.231	-21.03	-19.25	-17.32	-16.27	-14.70	-13.26	-11.23	-9.04	-7.85	-6.70	-5.15	-3.88	-2.75	-1.72	-0.64	-0.66

8.829	-2.209	-21.11	-19.05	-16.84	-15.49	-13.66	-11.93	-10.24	-8.16	-6.87	-5.50	-3.75	-2.30	-1.05	0.18	1.40	1.50

